"Seletores";"Cargo";"UF";"Qt VotosVálidos";"Qt Vagas  QE";"QE";"Legenda";"Qt VotosVálidos QP";"Qt VagasQP";"Qt VagasMédia";
"";"";"";"21.266.194";"70";"303.803";"PT / PC do B";"3.170.003";"10";"1"
"";"";"";"21.266.194";"70";"303.803";"PSC";"828.477";"2";"1"
"";"";"";"21.266.194";"70";"303.803";"PSB";"1.192.210";"3";"1"
"Subtotal";"";"";"425.323.880";"1.400";"6.076.060";"";"21.266.194";"62";"8"
"";"";"TO";"733.225";"8";"91.653";"PRB / PP / PDT / PTB / PSL / PSC / PR / PPS / DEM / PRTB / PHS / PTC / PSB / PRP / PSDB / PEN / SD";"384.967";"4";"0"
"";"";"";"733.225";"8";"91.653";"PSOL";"1.770";"0";"0"
"";"";"";"733.225";"8";"91.653";"PROS / PTN / PPL / PMN / PSDC / PC do B / PT do B";"6.282";"0";"0"
"";"";"";"733.225";"8";"91.653";"PMDB / PV / PT / PSD";"339.391";"3";"1"
"";"";"";"733.225";"8";"91.653";"PCB";"815";"0";"0"
"Subtotal";"";"";"3.666.125";"40";"458.265";"";"733.225";"7";"1"
"Subtotal";"";"";"1.168.250.169";"5.613";"41.564.643";"";"97.356.649";"440";"73"
"";"Deputado Estadual";"AC";"405.514";"24";"16.896";"PSD";"18.855";"1";"0"
"";"";"";"405.514";"24";"16.896";"PSDC / PSL";"19.103";"1";"0"
"";"";"";"405.514";"24";"16.896";"DEM / PV / PMN";"30.679";"1";"1"
"";"";"";"405.514";"24";"16.896";"PPS / PR / SD";"24.641";"1";"0"
"";"";"";"405.514";"24";"16.896";"PP";"27.643";"1";"1"
"";"";"";"405.514";"24";"16.896";"PC do B / PTB";"21.452";"1";"0"
"";"";"";"405.514";"24";"16.896";"PDT";"33.087";"1";"1"
"";"";"";"405.514";"24";"16.896";"PMDB / PSDB / PT do B / PTC / PSC";"48.053";"2";"1"
"";"";"";"405.514";"24";"16.896";"PRB / PTN / PHS / PPL";"44.822";"2";"1"
"";"";"";"405.514";"24";"16.896";"PRP";"25.911";"1";"0"
"";"";"";"405.514";"24";"16.896";"PSOL";"1.136";"0";"0"
"";"";"";"405.514";"24";"16.896";"PT / PEN / PROS";"83.174";"4";"2"
"";"";"";"405.514";"24";"16.896";"PSB";"26.958";"1";"0"
"Subtotal";"";"";"5.271.682";"312";"219.648";"";"405.514";"17";"7"
"";"";"AL";"1.429.143";"27";"52.931";"PSDB / PRB";"243.969";"4";"1"
"";"";"";"1.429.143";"27";"52.931";"PT";"99.305";"1";"1"
"";"";"";"1.429.143";"27";"52.931";"PDT / PMDB / PSC / PTB / PSD";"434.254";"8";"0"
"";"";"";"1.429.143";"27";"52.931";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"337.475";"6";"0"
"";"";"";"1.429.143";"27";"52.931";"PSOL / PSTU";"8.972";"0";"0"
"";"";"";"1.429.143";"27";"52.931";"PROS / PT do B / PHS / PC do B / PV";"105.715";"1";"1"
"";"";"";"1.429.143";"27";"52.931";"PTC";"2.509";"0";"0"
"";"";"";"1.429.143";"27";"52.931";"PRTB / PPL / PMN";"196.944";"3";"1"
"Subtotal";"";"";"11.433.144";"216";"423.448";"";"1.429.143";"23";"4"
