Nome,Nome para Urna,Numero,Partido,Coligação,Situação,Votação,% Válidos,Sexo,Estado Civil,Ocupacao,Cor/Raça,Data Nasc.,Idade,Instrucao,Bens,UF,foto
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,ANTONIO BRITO,1410,PTB,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,159.840,"2,40",MASCULINO,Casado(a),Deputado,Preta,17/01/1969,48,Superior completo,"1949445,24",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000120.jpg
ANTONIO JOSE IMBASSAHY DA SILVA,IMBASSAHY,4555,PSDB,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,120.479,"1,81",MASCULINO,Casado(a),Deputado,Branca,12/03/1948,69,Superior completo,"1652004,42",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000639.jpg
ARTHUR DE OLIVEIRA MAIA DA SILVA,ARTHUR MAIA,7712,SD,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,95.698,"1,44",MASCULINO,Casado(a),Deputado,Branca,17/08/1964,53,Superior completo,"1303361,66",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000676.jpg
JOAO CARLOS BACELAR BATISTA,JOAO CARLOS BACELAR,1919,PTN,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,95.158,"1,43",MASCULINO,Divorciado(a),Deputado,Branca,09/07/1957,60,Superior completo,"597582,45",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000661.jpg
ADALBERTO SOUZA GALVAO,BEBETO,4013,PSB,PSB / PSL / PPL,Eleito por QP,96.134,"1,45",MASCULINO,Casado(a),Outros,Preta,09/06/1962,55,Superior incompleto,"211453,37",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000202.jpg
BENITO DA GAMA SANTOS,BENITO GAMA,1400,PTB,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por média,71.372,"1,07",MASCULINO,Casado(a),Economista,Branca,29/08/1948,69,Superior completo,"553889,44",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000121.jpg
CARLOS FELIPE VAZQUEZ DE SOUZA LEAO,CACÁ LEÃO,1115,PP,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,125.605,"1,89",MASCULINO,Solteiro(a),Administrador,Branca,03/11/1979,38,Superior completo,"759285,15",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000164.jpg
LUIZ CARLOS CAETANO,CAETANO,1300,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,125.862,"1,89",MASCULINO,Casado(a),Farmacêutico,Parda,23/09/1954,63,Superior completo,"274610,18",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000145.jpg
CLAUDIO CAJADO SAMPAIO,CLAUDIO CAJADO,2522,DEM,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,89.118,"1,34",MASCULINO,Casado(a),Deputado,Parda,01/12/1963,54,Superior completo,"7876713,48",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000626.jpg
DANIEL GOMES DE ALMEIDA,DANIEL ALMEIDA,6565,PC do B,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,135.382,"2,04",MASCULINO,Casado(a),Outros,Parda,21/01/1955,62,Superior incompleto,"696554,04",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000135.jpg
DAVIDSON DE MAGALHAES SANTOS,DAVIDSON MAGALHÃES,6510,PC do B,PP / PDT / PT / PTB / PR / PSD / PC do B,Suplente,65.171,"0,98",MASCULINO,Viúvo(a),Servidor Público Estadual,Parda,07/11/1960,57,Superior completo,"1208035,54",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000136.jpg
ELMAR JOSE VIEIRA NASCIMENTO,ELMAR,2552,DEM,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,88.334,"1,33",MASCULINO,Casado(a),Deputado,Branca,06/07/1970,47,Superior completo,"1493787,72",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000628.jpg
ERIVELTON LIMA SANTANA,ERIVELTON SANTANA,2012,PSC,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por média,74.836,"1,13",MASCULINO,Casado(a),Deputado,Parda,29/01/1965,52,Superior incompleto,"220000,00",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000683.jpg
